ticket_id,created_at,customer_id,department,city,state,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,category,priority,status,assigned_team,has_attachment,sentiment_score,num_words,num_images,latitude,longitude,target_category
18,2025-01-01T05:06:00,5279,Operações,Belo Horizonte,MG,Desktop,Windows,Safari,4G,20,24,66,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00018.jpg,640,720,Hardware,Baixa,Fechado,N2,1,-0.911,6,3,-33.781565,-43.936806,Hardware
19,2025-01-01T05:23:00,2146,Financeiro,Belo Horizonte,MG,Mobile,Windows,Edge,4G,26,12,52,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00019.jpg,1024,600,Rede,Crítica,Aberto,Aplicações,1,0.355,3,1,-27.090887,-50.120596,Rede
20,2025-01-01T05:40:00,4443,RH,Belo Horizonte,RS,Mobile,Android,Safari,5G,28,8,66,Não consigo acessar o sistema após atualização,Não consigo acessar o sistema após atualização.,images/img_00020.jpg,1280,600,Rede,Alta,Fechado,N1,1,0.031,7,2,-32.78208,-43.675203,Rede
21,2025-01-01T05:57:00,4680,Operações,Campinas,SP,Desktop,Linux,Safari,WiFi,29,24,25,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00021.jpg,1280,720,RH,Alta,Em andamento,N2,0,0.312,3,0,-24.070008,-44.581638,RH
22,2025-01-01T06:14:00,3881,RH,São Paulo,RS,Desktop,Windows,Safari,Cabo,29,48,72,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00022.jpg,1024,720,Acesso,Média,Fechado,Aplicações,1,0.794,6,3,-28.89424,-45.65741,Acesso
23,2025-01-01T06:31:00,4919,Financeiro,Curitiba,SP,Mobile,Android,Firefox,4G,21,12,70,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00023.jpg,640,600,Financeiro,Crítica,Aberto,N2,1,0.388,5,1,-33.099906,-49.064766,Financeiro
24,2025-01-01T06:48:00,4388,RH,Curitiba,RS,Mobile,Windows,Safari,5G,0,12,39,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00024.jpg,1280,720,Acesso,Baixa,Fechado,N2,1,-0.561,4,3,-28.506502,-49.250314,Acesso
25,2025-01-01T07:05:00,8657,Operações,Belo Horizonte,RS,Desktop,iOS,Chrome,WiFi,27,8,60,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00025.jpg,800,480,RH,Média,Em andamento,Aplicações,1,-0.577,5,2,-30.121244,-44.391564,RH
26,2025-01-01T07:22:00,2341,RH,São Paulo,BA,Mobile,Windows,Edge,Cabo,4,4,4,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00026.jpg,800,600,Acesso,Alta,Aberto,N2,0,-0.748,5,0,-27.652732,-50.942151,Acesso
27,2025-01-01T07:39:00,2876,Operações,Santos,SP,Mobile,Windows,Edge,5G,25,8,10,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00027.jpg,800,480,Rede,Média,Fechado,Infra,0,0.592,5,0,-30.015479,-48.859058,Rede
28,2025-01-01T07:56:00,1207,RH,Curitiba,SP,Notebook,Android,Safari,Cabo,27,8,67,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00028.jpg,1024,720,Hardware,Alta,Em andamento,Aplicações,1,-0.355,6,1,-24.745032,-52.242037,Hardware
29,2025-01-01T08:13:00,7209,Financeiro,São Paulo,PR,Notebook,Linux,Safari,Cabo,22,12,44,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00029.jpg,1024,768,Software,Crítica,Fechado,N1,0,-0.829,4,3,-28.474501,-45.59417,Software
30,2025-01-01T08:30:00,8342,TI,São Paulo,MG,Desktop,iOS,Firefox,4G,37,12,61,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00030.jpg,1024,720,RH,Crítica,Fechado,Infra,1,0.406,4,2,-30.457809,-50.817673,RH
31,2025-01-01T08:47:00,9779,Operações,Campinas,RJ,Mobile,iOS,Edge,4G,6,8,38,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00031.jpg,800,768,Rede,Baixa,Aberto,Infra,0,0.416,3,1,-30.810007,-43.45448,Rede
32,2025-01-01T09:04:00,9042,TI,São Paulo,RS,Notebook,iOS,Safari,5G,21,8,7,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00032.jpg,1024,720,RH,Média,Aberto,N1,1,-0.017,5,0,-32.146176,-45.069693,RH
33,2025-01-01T09:21:00,2940,RH,Belo Horizonte,RS,Mobile,Linux,Safari,5G,28,12,55,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00033.jpg,1024,480,Hardware,Média,Fechado,N1,0,0.251,5,2,-26.601333,-51.545135,Hardware
34,2025-01-01T09:38:00,3564,TI,Curitiba,PR,Mobile,iOS,Edge,WiFi,14,12,37,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00034.jpg,1280,480,Financeiro,Baixa,Fechado,N2,1,0.576,6,1,-29.165985,-47.708832,Financeiro
35,2025-01-01T09:55:00,2169,TI,Campinas,MG,Mobile,Android,Safari,WiFi,29,12,52,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00035.jpg,1024,720,Rede,Média,Em andamento,N1,0,0.779,6,2,-27.219521,-52.843938,Rede
36,2025-01-01T10:12:00,5415,TI,Campinas,PR,Mobile,iOS,Edge,Cabo,37,24,63,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00036.jpg,640,720,RH,Baixa,Em andamento,Aplicações,1,-0.358,3,0,-24.450709,-49.834944,RH
37,2025-01-01T10:29:00,1601,RH,São Paulo,MG,Notebook,Android,Chrome,5G,32,4,70,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00037.jpg,1280,720,Rede,Crítica,Aberto,N2,1,0.245,4,3,-26.983045,-45.576094,Rede
38,2025-01-01T10:46:00,5719,RH,Curitiba,SP,Desktop,Linux,Firefox,4G,35,4,71,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00038.jpg,1280,480,Rede,Média,Aberto,N1,1,0.894,3,1,-28.367707,-46.005627,Rede
39,2025-01-01T11:03:00,8736,Operações,Curitiba,RS,Desktop,iOS,Firefox,Cabo,4,12,54,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00039.jpg,1024,768,Acesso,Crítica,Aberto,Infra,1,0.675,5,3,-24.36866,-48.679181,Acesso
40,2025-01-01T11:20:00,9903,RH,Curitiba,MG,Desktop,Linux,Safari,Cabo,26,4,41,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00040.jpg,1280,720,Rede,Alta,Em andamento,N2,1,0.93,4,1,-28.325026,-47.257214,Rede
41,2025-01-01T11:37:00,9617,RH,São Paulo,BA,Desktop,iOS,Firefox,WiFi,30,12,44,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00041.jpg,1280,480,Acesso,Baixa,Em andamento,Aplicações,1,0.254,6,3,-24.291025,-52.744599,Acesso
42,2025-01-01T11:54:00,4727,TI,Curitiba,SP,Mobile,Windows,Safari,Cabo,19,4,6,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00042.jpg,1024,480,Software,Alta,Em andamento,Infra,1,-0.139,6,1,-28.010287,-47.497312,Software
43,2025-01-01T12:11:00,2293,RH,Belo Horizonte,BA,Desktop,iOS,Firefox,Cabo,29,12,59,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00043.jpg,1024,480,Software,Média,Em andamento,Infra,0,-0.852,6,2,-23.034597,-50.138373,Software
44,2025-01-01T12:28:00,8484,Financeiro,Campinas,PR,Notebook,Windows,Firefox,5G,36,12,38,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00044.jpg,1024,480,RH,Alta,Fechado,Aplicações,1,-0.984,5,0,-23.874275,-45.722796,RH
45,2025-01-01T12:45:00,4588,Operações,Belo Horizonte,MG,Mobile,Linux,Chrome,WiFi,19,24,5,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00045.jpg,1024,600,Software,Alta,Aberto,Infra,1,0.495,5,1,-31.611337,-45.313523,Software
46,2025-01-01T13:02:00,3695,Financeiro,Curitiba,MG,Mobile,Android,Chrome,5G,4,8,29,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00046.jpg,1280,768,Financeiro,Alta,Aberto,Aplicações,0,-0.471,6,0,-28.842832,-46.438999,Financeiro
47,2025-01-01T13:19:00,7086,TI,Campinas,PR,Desktop,Android,Firefox,WiFi,40,24,39,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00047.jpg,1280,480,Financeiro,Crítica,Aberto,N1,0,-0.391,5,3,-32.534287,-50.77548,Financeiro
48,2025-01-01T13:36:00,7078,RH,Belo Horizonte,BA,Mobile,Linux,Safari,WiFi,31,48,53,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00048.jpg,1024,480,Acesso,Crítica,Fechado,Infra,0,-0.113,6,1,-24.475593,-52.116389,Acesso
49,2025-01-01T13:53:00,1992,RH,Santos,RJ,Desktop,iOS,Chrome,Cabo,40,48,3,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00049.jpg,640,768,Financeiro,Alta,Aberto,N2,0,-0.863,6,1,-27.408424,-45.050775,Financeiro
50,2025-01-01T14:10:00,1046,Financeiro,Campinas,RJ,Mobile,Android,Firefox,WiFi,1,8,2,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00050.jpg,1024,600,Rede,Média,Fechado,Infra,0,-0.652,3,0,-32.418332,-48.93249,Rede
51,2025-01-01T14:27:00,8802,RH,Santos,RS,Mobile,Windows,Safari,Cabo,39,4,67,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00051.jpg,1024,720,RH,Baixa,Fechado,N1,0,0.997,6,3,-29.153618,-52.031178,RH
52,2025-01-01T14:44:00,6277,Operações,São Paulo,RJ,Notebook,Android,Safari,4G,29,48,56,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00052.jpg,640,480,Hardware,Baixa,Fechado,N2,1,-0.097,4,1,-29.289432,-44.90855,Hardware
53,2025-01-01T15:01:00,6120,RH,Santos,BA,Notebook,Android,Firefox,5G,4,4,11,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00053.jpg,640,720,Acesso,Baixa,Aberto,Infra,0,0.113,5,2,-26.496855,-49.032995,Acesso
54,2025-01-01T15:18:00,5712,Financeiro,Santos,SP,Mobile,Linux,Firefox,5G,14,4,45,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00054.jpg,1024,480,RH,Baixa,Em andamento,N2,1,0.69,5,0,-27.161955,-46.587471,RH
55,2025-01-01T15:35:00,5477,Financeiro,Santos,MG,Desktop,Linux,Firefox,5G,4,8,4,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00055.jpg,640,600,Hardware,Média,Em andamento,Aplicações,1,-0.318,5,2,-30.403153,-49.888609,Hardware
56,2025-01-01T15:52:00,3579,TI,São Paulo,MG,Notebook,iOS,Safari,5G,26,12,28,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00056.jpg,640,768,Hardware,Média,Em andamento,N1,1,0.356,6,3,-28.056418,-50.046648,Hardware
57,2025-01-01T16:09:00,1125,Operações,Santos,RJ,Desktop,Android,Edge,4G,7,4,64,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00057.jpg,1280,600,Acesso,Baixa,Aberto,Aplicações,0,0.001,3,2,-33.014377,-44.568533,Acesso
58,2025-01-01T16:26:00,8532,TI,Santos,RS,Notebook,iOS,Safari,4G,7,24,3,Não consigo acessar o sistema após atualização,Não consigo acessar o sistema após atualização.,images/img_00058.jpg,1024,600,Acesso,Baixa,Fechado,Aplicações,1,-0.824,7,0,-31.14785,-47.270174,Acesso
59,2025-01-01T16:43:00,6562,Operações,Santos,RJ,Desktop,Windows,Firefox,4G,22,8,31,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00059.jpg,640,600,Acesso,Alta,Em andamento,N2,0,0.205,6,0,-31.869107,-45.448804,Acesso
60,2025-01-01T17:00:00,6295,Financeiro,Campinas,PR,Desktop,iOS,Safari,4G,17,48,8,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00060.jpg,1024,480,Acesso,Crítica,Em andamento,Aplicações,1,-0.925,4,2,-24.734507,-52.340363,Acesso
61,2025-01-01T17:17:00,8581,TI,Curitiba,RS,Mobile,Linux,Edge,5G,32,8,8,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00061.jpg,1280,480,Financeiro,Crítica,Em andamento,N1,0,-0.922,6,3,-22.998252,-47.911721,Financeiro
62,2025-01-01T17:34:00,5634,RH,Curitiba,MG,Mobile,Windows,Edge,WiFi,21,4,72,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00062.jpg,1280,768,Rede,Alta,Em andamento,N2,1,-0.837,6,1,-23.807464,-50.028706,Rede
63,2025-01-01T17:51:00,6072,RH,Santos,RJ,Mobile,Windows,Safari,4G,1,12,40,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00063.jpg,800,600,Software,Baixa,Em andamento,Aplicações,0,-0.547,5,1,-32.111098,-50.171658,Software
64,2025-01-01T18:08:00,6517,Operações,Belo Horizonte,PR,Desktop,Linux,Firefox,Cabo,28,4,53,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00064.jpg,1024,600,Financeiro,Baixa,Em andamento,Infra,1,-0.532,6,1,-30.4268,-45.094624,Financeiro
65,2025-01-01T18:25:00,8218,RH,Santos,PR,Mobile,iOS,Firefox,Cabo,38,8,33,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00065.jpg,640,720,Software,Alta,Em andamento,N1,0,-0.43,4,1,-30.826575,-44.137469,Software
66,2025-01-01T18:42:00,4637,RH,Santos,SP,Notebook,Windows,Safari,4G,15,24,11,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00066.jpg,1024,600,Acesso,Baixa,Aberto,Infra,0,0.678,6,2,-25.173951,-51.737764,Acesso
67,2025-01-01T18:59:00,8685,RH,Belo Horizonte,SP,Desktop,Windows,Edge,Cabo,9,48,68,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00067.jpg,1280,480,Acesso,Média,Em andamento,N2,1,-0.756,5,1,-29.223902,-45.240399,Acesso
68,2025-01-01T19:16:00,9189,TI,Belo Horizonte,RS,Desktop,Linux,Edge,5G,0,48,46,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00068.jpg,800,720,Hardware,Baixa,Aberto,N1,1,-0.865,4,0,-29.544054,-48.445663,Hardware
69,2025-01-01T19:33:00,1266,Financeiro,São Paulo,MG,Desktop,Windows,Edge,Cabo,2,12,70,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00069.jpg,1024,600,Rede,Alta,Fechado,Aplicações,1,0.263,5,1,-33.112204,-45.415715,Rede
70,2025-01-01T19:50:00,4302,TI,Campinas,SP,Notebook,Android,Safari,5G,16,4,25,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00070.jpg,1024,768,Hardware,Alta,Aberto,Infra,1,-0.751,4,2,-29.03723,-49.139784,Hardware
71,2025-01-01T20:07:00,4060,RH,Curitiba,MG,Mobile,Android,Chrome,5G,5,24,24,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00071.jpg,1024,768,Acesso,Alta,Aberto,N1,1,0.322,4,2,-28.939518,-45.995137,Acesso
72,2025-01-01T20:24:00,6759,RH,São Paulo,BA,Notebook,iOS,Edge,WiFi,4,24,47,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00072.jpg,800,480,RH,Crítica,Aberto,Aplicações,0,-0.748,6,1,-25.314182,-49.473348,RH
73,2025-01-01T20:41:00,3513,RH,Santos,MG,Notebook,Windows,Firefox,4G,25,12,36,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00073.jpg,800,480,Financeiro,Baixa,Aberto,N2,1,0.035,5,0,-30.946634,-50.523131,Financeiro
74,2025-01-01T20:58:00,9047,Operações,São Paulo,RJ,Desktop,iOS,Firefox,5G,5,12,45,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00074.jpg,640,768,Software,Alta,Em andamento,N2,0,0.587,4,1,-32.477149,-51.110294,Software
75,2025-01-01T21:15:00,1430,Financeiro,Belo Horizonte,RS,Notebook,iOS,Firefox,WiFi,4,12,51,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00075.jpg,1280,720,Software,Crítica,Em andamento,N1,0,0.945,6,0,-28.895278,-46.366921,Software
76,2025-01-01T21:32:00,3114,RH,Belo Horizonte,SP,Desktop,Linux,Edge,Cabo,10,12,29,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00076.jpg,1024,768,Software,Média,Aberto,Infra,0,0.27,6,2,-32.435644,-50.102036,Software
77,2025-01-01T21:49:00,3526,Operações,Belo Horizonte,BA,Mobile,Android,Chrome,WiFi,5,4,34,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00077.jpg,800,720,Financeiro,Média,Fechado,N1,1,0.778,6,2,-26.803211,-50.109268,Financeiro
78,2025-01-01T22:06:00,5873,RH,São Paulo,BA,Desktop,Linux,Safari,5G,30,24,27,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00078.jpg,1024,600,RH,Crítica,Em andamento,Infra,1,0.951,3,1,-25.508752,-48.001697,RH
79,2025-01-01T22:23:00,8642,TI,Santos,PR,Desktop,Linux,Chrome,WiFi,18,24,54,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00079.jpg,800,600,Rede,Média,Em andamento,Infra,0,0.526,6,3,-22.943933,-48.47853,Rede
80,2025-01-01T22:40:00,2475,RH,Belo Horizonte,PR,Desktop,Linux,Edge,WiFi,3,12,64,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00080.jpg,1280,768,Acesso,Baixa,Fechado,N1,0,-0.138,5,2,-25.870162,-45.537818,Acesso
81,2025-01-01T22:57:00,1838,Operações,Santos,RS,Notebook,Windows,Safari,5G,35,12,16,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00081.jpg,800,480,Hardware,Crítica,Em andamento,Infra,1,0.116,6,2,-25.57088,-51.129327,Hardware
82,2025-01-01T23:14:00,1742,TI,Campinas,BA,Notebook,iOS,Safari,Cabo,38,48,18,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00082.jpg,1024,768,Financeiro,Baixa,Aberto,Aplicações,1,0.187,5,3,-26.074736,-50.132073,Financeiro
83,2025-01-01T23:31:00,2795,RH,Belo Horizonte,MG,Mobile,Windows,Safari,4G,37,48,30,Não consigo acessar o sistema após atualização,Não consigo acessar o sistema após atualização.,images/img_00083.jpg,640,720,Rede,Alta,Aberto,Aplicações,0,0.643,7,1,-33.455881,-43.712769,Rede
84,2025-01-01T23:48:00,8225,Financeiro,Curitiba,RJ,Notebook,Linux,Safari,5G,3,8,67,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00084.jpg,800,768,Software,Baixa,Fechado,Aplicações,1,-0.372,6,1,-28.789668,-47.822042,Software
85,2025-01-02T00:05:00,8932,Operações,Campinas,MG,Mobile,Android,Firefox,4G,18,8,63,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00085.jpg,1024,720,RH,Alta,Em andamento,Infra,1,-0.756,6,3,-24.036211,-49.194129,RH
86,2025-01-02T00:22:00,1689,Financeiro,São Paulo,MG,Notebook,Android,Safari,Cabo,12,48,35,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00086.jpg,1024,600,Software,Alta,Aberto,N2,0,-0.898,6,1,-26.846404,-52.580338,Software
87,2025-01-02T00:39:00,2647,Operações,São Paulo,RS,Desktop,iOS,Safari,5G,12,12,42,Falha ao imprimir relatório financeiro,Falha ao imprimir relatório financeiro.,images/img_00087.jpg,1024,480,Rede,Crítica,Aberto,N2,0,0.826,5,1,-29.245054,-44.807712,Rede
88,2025-01-02T00:56:00,4052,Financeiro,São Paulo,SP,Notebook,Windows,Edge,4G,29,48,68,Não consigo acessar o sistema após atualização,Não consigo acessar o sistema após atualização.,images/img_00088.jpg,1280,600,Acesso,Crítica,Fechado,Aplicações,1,-0.614,7,0,-30.195543,-45.86192,Acesso
89,2025-01-02T01:13:00,1230,Financeiro,Santos,RS,Mobile,Linux,Firefox,5G,27,48,42,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00089.jpg,640,720,RH,Média,Fechado,N1,0,0.963,5,3,-30.272742,-50.644334,RH
90,2025-01-02T01:30:00,8319,Financeiro,Santos,MG,Mobile,Windows,Edge,4G,15,4,16,Solicitação de desbloqueio de usuário,Solicitação de desbloqueio de usuário.,images/img_00090.jpg,1280,768,Acesso,Média,Aberto,Aplicações,1,0.381,5,2,-29.793771,-50.913593,Acesso
91,2025-01-02T01:47:00,8454,Financeiro,Curitiba,BA,Mobile,iOS,Firefox,Cabo,38,4,68,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00091.jpg,1280,768,Acesso,Média,Aberto,N1,0,0.658,6,1,-27.557552,-51.616461,Acesso
92,2025-01-02T02:04:00,2904,Operações,Belo Horizonte,PR,Desktop,iOS,Chrome,5G,8,48,54,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00092.jpg,1280,480,Financeiro,Crítica,Fechado,Aplicações,1,0.447,6,3,-31.026416,-53.070147,Financeiro
